api_id,keyword
build_tag,keyword
case_name,keyword
criteria,keyword
duration,float
failures,long
grimoire_creation_date,date
installer,keyword
is_functest_func_test,long
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
name,type
origin,keyword
pod_name,keyword
project,keyword
scenario,keyword
start_date,keyword
stop_date,keyword
tag,keyword
tests,long
trust_indicator,long
uuid,keyword
version,keyword
