assignee_data_bot,boolean
assignee_data_domain,keyword
assignee_data_id,keyword
assignee_data_name,keyword
assignee_data_org_name,keyword
assignee_data_user_name,keyword
assignee_data_uuid,keyword
assignee_domain,keyword
assignee_email,keyword
assignee_geolocation,geo_point
assignee_location,keyword
assignee_login,keyword
assignee_name,keyword
assignee_org,keyword
author_bot,boolean
author_domain,keyword
author_id,keyword
author_name,keyword
author_org_name,keyword
author_user_name,keyword
author_uuid,keyword
closed_at,date
created_at,date
github_repo,keyword
grimoire_creation_date,date
id_in_repo,keyword
id,long
is_github_issue,long
item_type,keyword
labels,keyword
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
name,type
ocean-unique-id,keyword
origin,keyword
project_1,keyword
project,keyword
pull_request,boolean
repository,keyword
state,keyword
tag,keyword
time_open_days,float
time_to_close_days,float
title_analyzed,text
title,keyword
updated_at,date
url_id,keyword
url,keyword
user_data_bot,boolean
user_data_domain,keyword
user_data_id,keyword
user_data_name,keyword
user_data_org_name,keyword
user_data_user_name,keyword
user_data_uuid,keyword
user_domain,keyword
user_email,keyword
user_geolocation,geo_point
user_location,keyword
user_login,keyword
user_name,keyword
user_org,keyword
uuid,keyword
