branch,keyword
build_date,date
build,long
builtOn,keyword
category,keyword
duration_days,float
duration,long
fullDisplayName_analyzed,text
fullDisplayName,keyword
grimoire_creation_date,date
installer,keyword
is_jenkins_job,long
job_build,keyword
job_name,keyword
job_url,keyword
loop,keyword
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
name,type
ocean-unique-id,keyword
origin,keyword
pod,keyword
result,keyword
tag,keyword
testproject,keyword
url,keyword
uuid,keyword
