author_bot,boolean
author_id,keyword
author,keyword
author_name,keyword
author_org_name,keyword
author_user_name,keyword
author_uuid,keyword
grimoire_creation_date,date
is_rss_entry,long
link,keyword
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
name,type
ocean-unique-id,keyword
origin,keyword
publish_date,date
published,keyword
summary_analyzed,text
summary,keyword
tag,keyword
title,keyword
uuid,keyword
