name,type
answer_status,keyword
answer_count,long
answer_id,long
answer_tags,keyword
answers_tags, keyword
author_bot,boolean
author_id,keyword
author,keyword
author_link,keyword
author_name,keyword
author_org_name,keyword
author_reputation,long
author_user_name,keyword
author_uuid,keyword
comment_count,long
creation_date,date
delete_vote_count,long
down_vote_count,long
favorite_count,long
grimoire_creation_date,date
is_accepted,boolean
is_accepted_answer,long
is_stackexchange_answer,long
is_stackexchange_question,long
item_id,long
last_activity_date,long
link,keyword
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
ocean-unique-id,keyword
origin,keyword
owner_bot,boolean
owner_id,keyword
owner_name,keyword
owner_org_name,keyword
owner_user_name,keyword
owner_uuid,keyword
question_accepted_answer_id,long
question_has_accepted_answer,boolean
question_id,long
question_tags,keyword
question_title,keyword
score,long
tag,keyword
tags,keyword
thread_tags, keyword
title_analyzed,text
title,keyword
type,keyword
up_vote_count,long
uuid,keyword
view_count,long
